epoch,accuracy,loss,lr,top3_acc,val_accuracy,val_loss,val_top3_acc
0,0.2884615361690521,2.0664243698120117,1e-04,0.6351810097694397,0.05540896952152252,5.815398693084717,0.6015831232070923
1,0.41515836119651794,1.6193301677703857,1e-04,0.7748869061470032,0.279683381319046,2.316951274871826,0.6042216420173645
2,0.4570135772228241,1.5233222246170044,1e-04,0.8116515874862671,0.06068601459264755,8.579256057739258,0.5936675667762756
3,0.5390271544456482,1.281816840171814,1e-04,0.8716063499450684,0.4353561997413635,1.8880891799926758,0.767810046672821
4,0.6289592981338501,1.0155131816864014,1e-04,0.9213801026344299,0.6807388067245483,0.9050052762031555,0.9313983917236328
5,0.6843891143798828,0.9254631400108337,1e-04,0.9366515874862671,0.21372032165527344,3.2699801921844482,0.9261213541030884
6,0.7171945571899414,0.766140341758728,1e-04,0.959276020526886,0.6543535590171814,1.1665536165237427,0.8997361660003662
7,0.8009049892425537,0.5562500953674316,1e-04,0.9779411554336548,0.6675461530685425,0.9795817136764526,0.9023746848106384
8,0.8116515874862671,0.5016839504241943,1e-04,0.9751130938529968,0.7414247989654541,0.769729733467102,0.9683377146720886
9,0.8653846383094788,0.3657062351703644,1e-04,0.9847285151481628,0.7097625136375427,0.8578372001647949,0.9261213541030884
10,0.8829185366630554,0.33031678199768066,1e-04,0.9898189902305603,0.7730870842933655,0.6717331409454346,0.9445910453796387
11,0.8970588445663452,0.2882838249206543,1e-04,0.9937782883644104,0.728232204914093,0.8158860802650452,0.9419525265693665
12,0.9004524946212769,0.27079275250434875,1e-04,0.9926470518112183,0.5250659584999084,1.9972069263458252,0.8918206095695496
13,0.9202488660812378,0.23870889842510223,1e-04,0.9932126402854919,0.6939314007759094,0.9806405305862427,0.9683377146720886
14,0.945135772228241,0.16344106197357178,1e-04,0.9983031749725342,0.8390501141548157,0.5545483827590942,0.9683377146720886
15,0.9536198973655701,0.1270463764667511,1e-04,0.9977375268936157,0.8839049935340881,0.36725130677223206,0.9762532711029053
16,0.973416268825531,0.09031834453344345,1e-04,1.0,0.8759894371032715,0.4535885155200958,0.9815303683280945
17,0.970588207244873,0.08597178012132645,1e-04,1.0,0.8944591283798218,0.3700122535228729,0.9736147522926331
18,0.9864253401756287,0.05490967258810997,1e-04,0.9994344115257263,0.857519805431366,0.48609432578086853,0.9709762334823608
19,0.9864253401756287,0.05906173959374428,1e-04,1.0,0.8258575201034546,0.6344605684280396,0.9656991958618164
20,0.9915158152580261,0.04190731793642044,1e-04,1.0,0.8865435123443604,0.32224196195602417,0.9815303683280945
21,0.9903846383094788,0.036914367228746414,1e-04,1.0,0.897097647190094,0.3101581037044525,0.9868074059486389
22,0.9796379804611206,0.0704105943441391,1e-04,0.9994344115257263,0.8812664747238159,0.38129478693008423,0.9762532711029053
23,0.9739819169044495,0.08122047781944275,1e-04,1.0,0.7572559118270874,0.852976381778717,0.9736147522926331
24,0.9813348650932312,0.06018080934882164,1e-04,0.9983031749725342,0.8469656705856323,0.5948989391326904,0.960422158241272
25,0.9773755669593811,0.07568799704313278,1e-04,0.9988687634468079,0.8390501141548157,0.5751138925552368,0.9736147522926331
26,0.9932126402854919,0.03467404842376709,1e-04,1.0,0.8021107912063599,0.696263313293457,0.9736147522926331
27,0.9920814633369446,0.030975958332419395,5e-05,1.0,0.8891820311546326,0.3153504431247711,0.9841688871383667
28,0.9983031749725342,0.02295563369989395,5e-05,1.0,0.9234828352928162,0.2727894186973572,0.9868074059486389
29,0.9960407018661499,0.0204168614000082,5e-05,1.0,0.9023746848106384,0.30784180760383606,0.9841688871383667
30,0.9977375268936157,0.018746018409729004,5e-05,1.0,0.9102902412414551,0.28756970167160034,0.9841688871383667
31,0.9983031749725342,0.014321836642920971,5e-05,1.0,0.9050132036209106,0.3326677978038788,0.9815303683280945
32,0.997171938419342,0.0170273557305336,5e-05,1.0,0.897097647190094,0.3259071111679077,0.9841688871383667
33,0.9932126402854919,0.04030382260680199,5e-05,1.0,0.9050132036209106,0.2900570333003998,0.9841688871383667
34,0.9983031749725342,0.017649006098508835,2.5e-05,1.0,0.8944591283798218,0.2881855368614197,0.9868074059486389
35,0.9983031749725342,0.012623228132724762,2.5e-05,1.0,0.9050132036209106,0.3020155429840088,0.9868074059486389
36,0.9994344115257263,0.012042168527841568,2.5e-05,1.0,0.9102902412414551,0.28387394547462463,0.9841688871383667
37,0.9983031749725342,0.014724988490343094,2.5e-05,1.0,0.9050132036209106,0.28244566917419434,0.9868074059486389
38,0.9983031749725342,0.015328030101954937,2.5e-05,1.0,0.9050132036209106,0.3045694828033447,0.9868074059486389
39,1.0,0.008957622572779655,1.25e-05,1.0,0.9050132036209106,0.28341224789619446,0.9868074059486389
40,0.997171938419342,0.014716924168169498,1.25e-05,1.0,0.8944591283798218,0.29299017786979675,0.9868074059486389
41,0.9983031749725342,0.012648427858948708,1.25e-05,1.0,0.8918206095695496,0.3079777956008911,0.9841688871383667
42,0.9966063499450684,0.014238083735108376,1.25e-05,0.9994344115257263,0.9155672788619995,0.2745356857776642,0.9868074059486389
43,0.9983031749725342,0.013943923637270927,1.25e-05,1.0,0.9102902412414551,0.26642176508903503,0.9868074059486389
44,0.9977375268936157,0.011231682263314724,1.25e-05,1.0,0.8997361660003662,0.2910115718841553,0.9841688871383667
45,0.9988687634468079,0.010407405905425549,1.25e-05,1.0,0.9076517224311829,0.2784326672554016,0.9868074059486389
46,0.9983031749725342,0.013022632338106632,1.25e-05,1.0,0.9076517224311829,0.27759894728660583,0.9868074059486389
47,0.9977375268936157,0.013399770483374596,1.25e-05,1.0,0.9076517224311829,0.286525696516037,0.9841688871383667
48,0.9960407018661499,0.017653876915574074,1.25e-05,1.0,0.9182057976722717,0.27939096093177795,0.9841688871383667
