epoch,accuracy,loss,lr,precision,recall,top_3_accuracy,val_accuracy,val_loss,val_precision,val_recall,val_top_3_accuracy
0,0.18156108260154724,2.562958002090454,0.001,0.19158878922462463,0.0695701390504837,0.5101810097694397,0.23482850193977356,1.9604051113128662,0.2650602459907532,0.23218996822834015,0.6569920778274536
1,0.18778280913829803,2.383509397506714,0.001,0.22319474816322327,0.057692307978868484,0.5441176295280457,0.15831135213375092,1.9736840724945068,0.0,0.0,0.4116095006465912
2,0.20022624731063843,2.200415849685669,0.001,0.21388888359069824,0.043552037328481674,0.5729637742042542,0.1530342996120453,2.329770803451538,0.2467532455921173,0.05013192445039749,0.5435356497764587
3,0.20588235557079315,2.1187469959259033,0.001,0.2110726684331894,0.034502264112234116,0.5633484125137329,0.14775726199150085,2.7297956943511963,0.15028901398181915,0.1372031718492508,0.3773086965084076
4,0.1985294073820114,2.0976569652557373,0.001,0.21033211052417755,0.032239820808172226,0.5695701241493225,0.1556728184223175,3.1076505184173584,0.14447592198848724,0.13456463813781738,0.5092348456382751
5,0.20135746896266937,2.109915018081665,0.001,0.19521912932395935,0.027714932337403297,0.5791855454444885,0.13456463813781738,2.616936206817627,0.1304347813129425,0.12664908170700073,0.5672823190689087
6,0.20644795894622803,1.952526330947876,0.0005,0.28729280829429626,0.029411764815449715,0.5854072570800781,0.14775726199150085,4.858361721038818,0.1478494554758072,0.14511872828006744,0.5145118832588196
7,0.19966062903404236,2.0116686820983887,0.0005,0.1894736886024475,0.020361991599202156,0.5774886608123779,0.14775726199150085,8.306235313415527,0.14550264179706573,0.14511872828006744,0.5567282438278198
8,0.20531673729419708,1.9842538833618164,0.0005,0.24581006169319153,0.024886878207325935,0.5921945571899414,0.16094987094402313,12.088221549987793,0.16094987094402313,0.16094987094402313,0.5435356497764587
9,0.20871040225028992,1.9518755674362183,0.0005,0.19480518996715546,0.01696832664310932,0.5950226187705994,0.15831135213375092,13.873785972595215,0.15831135213375092,0.15831135213375092,0.5567282438278198
10,0.20531673729419708,1.907814383506775,0.0005,0.23566879332065582,0.02092760242521763,0.5780543088912964,0.16358838975429535,5.183798313140869,0.16137565672397614,0.16094987094402313,0.5540897250175476
