epoch,accuracy,loss,top3_acc,val_accuracy,val_loss,val_top3_acc
0,0.5632545948028564,1.3414913415908813,0.8157480359077454,0.7282741665840149,0.8448483347892761,0.9290085434913635
1,0.7417322993278503,0.757342517375946,0.9333333373069763,0.7600979208946228,0.6987891793251038,0.9485924243927002
2,0.8078740239143372,0.563567042350769,0.9590551257133484,0.7711138129234314,0.6686984300613403,0.9571603536605835
3,0.8370078802108765,0.47436612844467163,0.9750655889511108,0.7735618352890015,0.6694019436836243,0.9571603536605835
4,0.8616797924041748,0.4072418808937073,0.9774278402328491,0.7858017086982727,0.6475565433502197,0.9571603536605835
5,0.8895013332366943,0.31908154487609863,0.9855642914772034,0.7894737124443054,0.667877733707428,0.9583843350410461
6,0.8973753452301025,0.2935064733028412,0.9892388582229614,0.7992656230926514,0.661190390586853,0.9547123908996582
7,0.9070866107940674,0.2566628158092499,0.9910761117935181,0.7968176007270813,0.650377094745636,0.9559363722801208
8,0.9212598204612732,0.24346689879894257,0.9926509261131287,0.800489604473114,0.633171558380127,0.9571603536605835
9,0.9236220717430115,0.22067086398601532,0.9934383034706116,0.7980416417121887,0.6834197044372559,0.9534883499145508
