epoch,accuracy,loss,lr,precision,recall,top_3_accuracy,val_accuracy,val_loss,val_precision,val_recall,val_top_3_accuracy
0,0.15497738122940063,2.4241867065429688,1e-04,0.15981735289096832,0.03959276154637337,0.48642534017562866,0.23482850193977356,3.2624824047088623,0.2311977744102478,0.21899735927581787,0.5910290479660034
1,0.15950226783752441,2.3997554779052734,1e-04,0.15039578080177307,0.032239820808172226,0.4835972785949707,0.16094987094402313,6.602107524871826,0.16094987094402313,0.16094987094402313,0.559366762638092
2,0.18382352590560913,2.3488521575927734,1e-04,0.22335025668144226,0.04977375641465187,0.4858597218990326,0.2612137198448181,4.057895660400391,0.2602739632129669,0.25065964460372925,0.6121371984481812
3,0.17081448435783386,2.2975752353668213,1e-04,0.15529412031173706,0.03733031824231148,0.5243212580680847,0.21372032165527344,7.164069652557373,0.21164020895957947,0.21108178794384003,0.5751978754997253
4,0.1515837162733078,2.341317892074585,1e-04,0.1806451678276062,0.031674209982156754,0.4835972785949707,0.23746702075004578,4.918221473693848,0.23955431580543518,0.22691293060779572,0.47493404150009155
5,0.1764705926179886,2.2081499099731445,1e-04,0.17786560952663422,0.025452489033341408,0.5079185366630554,0.16358838975429535,17.142675399780273,0.16358838975429535,0.16358838975429535,0.3430079221725464
6,0.1640271544456482,2.1956520080566406,5e-05,0.2015209197998047,0.029977375641465187,0.5056561231613159,0.19788917899131775,18.877391815185547,0.1984127014875412,0.19788917899131775,0.519788920879364
7,0.15610860288143158,2.201558828353882,5e-05,0.19327731430530548,0.02601809985935688,0.5124434232711792,0.16094987094402313,23.53557014465332,0.16094987094402313,0.16094987094402313,0.519788920879364
8,0.15667420625686646,2.0663821697235107,5e-05,0.20999999344348907,0.02375565655529499,0.5147058963775635,0.16358838975429535,62.41084671020508,0.16358838975429535,0.16358838975429535,0.5118733644485474
9,0.16233031451702118,2.191232442855835,5e-05,0.1690140813589096,0.020361991599202156,0.49321267008781433,0.15831135213375092,25.638355255126953,0.15831135213375092,0.15831135213375092,0.5435356497764587
10,0.1640271544456482,2.083493709564209,5e-05,0.1944444477558136,0.019796380773186684,0.5039592981338501,0.16358838975429535,57.89506530761719,0.16358838975429535,0.16358838975429535,0.5804749131202698
11,0.1804298609495163,1.9618903398513794,2.5e-05,0.2647058963775635,0.020361991599202156,0.5084841847419739,0.18205805122852325,54.72566604614258,0.18205805122852325,0.18205805122852325,0.5118733644485474
12,0.16685520112514496,1.9658279418945312,2.5e-05,0.23846153914928436,0.017533937469124794,0.5113122463226318,0.16358838975429535,89.89041900634766,0.16358838975429535,0.16358838975429535,1.0
13,0.15101809799671173,1.910567045211792,2.5e-05,0.25233644247055054,0.01527149323374033,0.48699095845222473,0.16358838975429535,130.39633178710938,0.16358838975429535,0.16358838975429535,1.0
14,0.1906108558177948,1.9001357555389404,2.5e-05,0.2857142984867096,0.015837104991078377,0.502828061580658,0.16358838975429535,120.52522277832031,0.16358838975429535,0.16358838975429535,1.0
15,0.17081448435783386,1.8847572803497314,2.5e-05,0.2750000059604645,0.012443439103662968,0.49264705181121826,0.23482850193977356,68.53775024414062,0.23482850193977356,0.23482850193977356,0.5883905291557312
16,0.16119909286499023,1.8719685077667236,1.25e-05,0.2531645596027374,0.011312217451632023,0.5050904750823975,0.23482850193977356,52.97139358520508,0.23482850193977356,0.23482850193977356,0.6411609649658203
17,0.18269230425357819,1.877938151359558,1.25e-05,0.24657534062862396,0.010180995799601078,0.5248869061470032,0.2242744117975235,48.021202087402344,0.2242744117975235,0.2242744117975235,0.583113431930542
18,0.16289593279361725,1.8538603782653809,1.25e-05,0.22413793206214905,0.007352941203862429,0.5107465982437134,0.16358838975429535,44.79019546508789,0.16358838975429535,0.16358838975429535,0.5567282438278198
19,0.1742081493139267,1.8704544305801392,1.25e-05,0.18644067645072937,0.006221719551831484,0.5192307829856873,0.16358838975429535,46.913475036621094,0.16358838975429535,0.16358838975429535,0.5171504020690918
20,0.19400452077388763,1.86933171749115,1.25e-05,0.22580644488334656,0.007918552495539188,0.5248869061470032,0.19788917899131775,25.229711532592773,0.19733333587646484,0.19525066018104553,0.5488126873970032
21,0.18269230425357819,1.8524878025054932,6.25e-06,0.21666666865348816,0.007352941203862429,0.5152714848518372,0.19788917899131775,65.34315490722656,0.19788917899131775,0.19788917899131775,0.6807388067245483
22,0.1906108558177948,1.8726853132247925,6.25e-06,0.18644067645072937,0.006221719551831484,0.5152714848518372,0.19788917899131775,103.29332733154297,0.19788917899131775,0.19788917899131775,1.0
